y,x
55,70
56,70
36,69
37,69
38,69
39,69
40,69
41,69
20,70
21,70
18,71
15,72
13,73
11,74
